#time,date,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,hospital bed occupancy,num hospitalisations today (data),cum num hospitalisations today,cum num infections today
1,2/1/2023,181647,71,47,6,9,181673,11,7,34,0.0,7,11
2,3/1/2023,181643,74,43,8,14,181671,6,5,34,0.0,12,17
3,4/1/2023,181636,77,47,8,15,181670,8,2,35,0.0,14,25
4,5/1/2023,181631,81,40,11,23,181667,8,3,30,0.0,17,33
5,6/1/2023,181630,72,52,11,23,181665,3,4,34,0.0,21,36
6,7/1/2023,181616,79,54,13,27,181664,15,8,37,0.0,29,51
7,8/1/2023,181610,80,55,14,31,181663,7,9,42,0.0,38,58
8,9/1/2023,181603,82,57,14,34,181663,7,5,44,0.0,43,65
9,10/1/2023,181598,79,62,17,37,181660,8,5,46,0.0,48,73
10,11/1/2023,181593,79,62,20,42,181657,8,9,50,0.0,57,81
11,12/1/2023,181590,75,64,23,46,181655,5,4,50,0.0,61,86
12,13/1/2023,181583,80,66,23,49,181652,10,9,56,0.0,70,96
13,14/1/2023,181577,80,67,24,55,181650,8,5,55,0.0,75,104
14,15/1/2023,181576,81,63,27,59,181647,4,5,56,0.0,80,108
15,16/1/2023,181572,75,66,27,68,181645,6,2,49,0.0,82,114
16,17/1/2023,181560,76,70,32,70,181645,12,8,54,0.0,90,126
17,18/1/2023,181557,66,75,32,78,181645,3,9,55,0.0,99,129
18,19/1/2023,181536,82,72,34,84,181645,21,10,59,0.0,109,150
19,20/1/2023,181528,83,75,36,86,181645,8,5,61,0.0,114,158
20,21/1/2023,181519,88,75,39,88,181644,10,8,66,0.0,122,168
21,22/1/2023,181518,82,75,43,92,181643,2,3,62,0.0,125,170
22,23/1/2023,181511,79,77,45,98,181643,7,7,61,0.0,132,177
23,24/1/2023,181505,84,77,47,101,181639,10,9,67,0.0,141,187
24,25/1/2023,181498,86,79,48,104,181638,8,3,67,0.0,144,195
25,26/1/2023,181488,85,79,51,113,181637,11,4,60,0.0,148,206
26,27/1/2023,181475,91,82,52,117,181636,14,12,68,0.0,160,220
27,28/1/2023,181469,91,82,52,124,181635,7,7,68,0.0,167,227
28,29/1/2023,181463,87,86,55,129,181633,8,7,67,0.0,174,235
29,30/1/2023,181453,90,82,57,139,181632,11,10,66,0.0,184,246
30,31/1/2023,181444,94,78,62,145,181630,11,8,66,0.0,192,257
